Sl No,Date,URL,Review_Title,Author,Rating,Review_text,Review_helpful
10,on 20 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2,Five Stars,Sweety,5.0 out of 5 stars,Very nice working from the past 7 months no problem till today,"|
      One person found this helpful.
    
  Was this review helpful to you?YesNo"
11,on 20 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2,Four Stars,Amazon Customer,4.0 out of 5 stars,Its ok but takes more time to grind,|Was this review helpful to you?YesNo
12,on 20 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2,GOOD QUALITY,M.ALEX,4.0 out of 5 stars,Good qualityVery good mixer grinter in this price 1819 ( market price 2879)Thanks amazon,|Was this review helpful to you?YesNo
13,on 19 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2,Positive,L A Phozii,4.0 out of 5 stars,So far so good,|Was this review helpful to you?YesNo
14,on 19 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2,Good Product,Arun,4.0 out of 5 stars,Good design and works fine.,|Was this review helpful to you?YesNo
15,on 19 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2,Three Stars,mukund goswami,3.0 out of 5 stars,Good,|Was this review helpful to you?YesNo
16,on 19 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2,Four Stars,Vineet Sethi,4.0 out of 5 stars,Powerful,|Was this review helpful to you?YesNo
17,on 19 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2,One Star,Manohar,1.0 out of 5 stars,Unable grind completely like corriander etcDon't buy,|Was this review helpful to you?YesNo
18,on 18 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2,Five Stars,Lopamudra Majhi,5.0 out of 5 stars,Small and handy. Loving it ?,|Was this review helpful to you?YesNo
19,on 18 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2,Five Stars,partha jyoti saikia,5.0 out of 5 stars,Awesome product enjoy it. No defect till now,|Was this review helpful to you?YesNo
20,on 18 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3,Three Stars,Amazon Customer,3.0 out of 5 stars,jars are bit small then expected good for small families,|Was this review helpful to you?YesNo
21,on 18 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3,One Star,Amazon Customer,1.0 out of 5 stars,Very poor product .. they gave broken jar after returning also .. ??,|Was this review helpful to you?YesNo
22,on 18 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3,Not bad,Ashoke Dutta,4.0 out of 5 stars,"After using a month, I would say it's Working nicely, but can't say what will be later.",|Was this review helpful to you?YesNo
23,on 17 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3,thats good i am happywith that,ramratangodara,5.0 out of 5 stars,thats good  i am happywith that,|Was this review helpful to you?YesNo
24,on 17 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3,One star for the product - Five star for Amazon Cloudtail return and refund!,Rupali R.,1.0 out of 5 stars,Arrived with dead motor. Returned it immediately. Got the refund within hour of return pick-up through Amazon Pay!,|Was this review helpful to you?YesNo
25,on 17 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3,Five Stars,Smritimay pal,5.0 out of 5 stars,Nice product @1700,|Was this review helpful to you?YesNo
26,on 17 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3,Five Stars,Rakesh b.,5.0 out of 5 stars,Nice,|Was this review helpful to you?YesNo
27,on 15 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3,Five Stars,Kundan,5.0 out of 5 stars,So usefull,|Was this review helpful to you?YesNo
28,on 15 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3,Excellent product,Aman kumar,5.0 out of 5 stars,I am giving review after 2 year use..this is a good product of bajaj at this price,|Was this review helpful to you?YesNo
29,on 15 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3,Five Stars,Md.,5.0 out of 5 stars,Very nice item.,|Was this review helpful to you?YesNo
30,on 15 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4,Four Stars,Muna,4.0 out of 5 stars,Good,|Was this review helpful to you?YesNo
31,on 15 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4,Cool item,neha pathak,4.0 out of 5 stars,I bought dis during great Indian sale @1700.. works fine but the lid is loose so you have to b careful while grinding liqid items or making chatney.,|Was this review helpful to you?YesNo
32,on 15 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4,nice product,Manoj Gaud,4.0 out of 5 stars,i bought it one month ago.good product in this price.,|Was this review helpful to you?YesNo
33,on 15 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4,One Star,Amazon Customer,1.0 out of 5 stars,Worst product didn't even started.,|Was this review helpful to you?YesNo
34,on 15 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4,Five Stars,Amazon Customer,5.0 out of 5 stars,Good working nicely but starting of mixer sound is more.,|Was this review helpful to you?YesNo
35,on 14 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4,good product on this budget,Amazon Customer,4.0 out of 5 stars,product is good..i wish to give 5 star for the performance..... but its lil bit noisy.......,|Was this review helpful to you?YesNo
36,on 14 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4,Three Stars,Nabindra Ghosh,3.0 out of 5 stars,good sound much than my earlier national,|Was this review helpful to you?YesNo
37,on 14 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4,Five Stars,karan gurung,5.0 out of 5 stars,Good stuff upto expected,|Was this review helpful to you?YesNo
38,on 14 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4,Five Stars,Amazon Customer,5.0 out of 5 stars,nice VFM product,|Was this review helpful to you?YesNo
39,on 13 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=4,One Star,Naved Khan,1.0 out of 5 stars,Quality is not as expected. Bajaj service not supportive. its charged withing warranty period also.,|Was this review helpful to you?YesNo
40,on 13 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5,Four Stars,Aman Kumar,4.0 out of 5 stars,Good,|Was this review helpful to you?YesNo
41,on 13 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5,good and economic,Amazon Customer,4.0 out of 5 stars,Thanks it's good,|Was this review helpful to you?YesNo
42,on 13 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5,Worth it !!!,Triveni Desai,5.0 out of 5 stars,Worth it !!!it does all the jobs in less power.,|Was this review helpful to you?YesNo
43,on 13 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5,Four Stars,Somashekar K R,4.0 out of 5 stars,Good,|Was this review helpful to you?YesNo
44,on 13 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5,Four Stars,Parshuram,4.0 out of 5 stars,Good product,|Was this review helpful to you?YesNo
45,on 13 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5,Five Stars,Amazon Customer,5.0 out of 5 stars,"Very good product, serves its purpose. Little noisy though. Value for money.",|Was this review helpful to you?YesNo
46,on 12 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5,Five Stars,Amazon Customer,5.0 out of 5 stars,Bought @1199,|Was this review helpful to you?YesNo
47,on 12 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5,One Star,Uttam Kumar,1.0 out of 5 stars,"In just three months, it has stopped working.",|Was this review helpful to you?YesNo
48,on 12 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5,Four Stars,dadapeer,4.0 out of 5 stars,Good but a little sound,|Was this review helpful to you?YesNo
49,on 12 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5,Three Stars,anil kumar,3.0 out of 5 stars,Best hai,|Was this review helpful to you?YesNo
50,on 11 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6,Three Stars,G K PRASD,3.0 out of 5 stars,Excellent on this price,|Was this review helpful to you?YesNo
51,on 11 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6,Noise is the only concern.,Ali K,3.0 out of 5 stars,Very Very noisy. Though a strong motor and sturdy outlook.,|Was this review helpful to you?YesNo
52,on 11 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6,Excellent product,Amazon Customer,4.0 out of 5 stars,Excellent product i am satisfied with this product thanks to Amazon for fast delivery,|Was this review helpful to you?YesNo
53,on 11 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6,Five Stars,Indira Dhar,5.0 out of 5 stars,Good...,|Was this review helpful to you?YesNo
54,on 11 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6,Five Stars,rakesh kumar sinha,5.0 out of 5 stars,Very good product and 3 day delivery,|Was this review helpful to you?YesNo
55,on 11 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6,Five Stars,Amazon Customer,5.0 out of 5 stars,Super,|Was this review helpful to you?YesNo
56,on 10 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6,Good,akash goyal,4.0 out of 5 stars,Good mixer...Does the work required..Quality is also very good.,|Was this review helpful to you?YesNo
57,on 10 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6,Mixer,shanthi sree,4.0 out of 5 stars,It is good,|Was this review helpful to you?YesNo
58,on 10 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6,Five Stars,DURGESH,5.0 out of 5 stars,Very good product,|Was this review helpful to you?YesNo
59,on 10 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6,Four Stars,SUJIT KUMAR BHOI,4.0 out of 5 stars,It is a good product at a medium price.,|Was this review helpful to you?YesNo
60,on 10 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7,Parts are missing,Biplab,1.0 out of 5 stars,"Very bad and terrible experience, jar cap rubber is missing..",|Was this review helpful to you?YesNo
61,on 10 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7,Four Stars,Sonal Binji,4.0 out of 5 stars,Works really good but also makes too much noise.,|Was this review helpful to you?YesNo
62,on 10 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7,Five Stars,Amazon Customer,5.0 out of 5 stars,Good Product ?,|Was this review helpful to you?YesNo
63,on 10 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7,One Star,apurva tripathi,1.0 out of 5 stars,Very bad product used for once..and was damaged....,|Was this review helpful to you?YesNo
64,on 10 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7,Four Stars,Yogesh Kumar,4.0 out of 5 stars,NICE SET. VERY USEFUL FOR SMALL FAMILY LOW USE,|Was this review helpful to you?YesNo
65,on 10 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7,Very poor quality material- both steel and plastic parts,Indu Patnaik,2.0 out of 5 stars,Very poor quality material- both steel and plastic parts .One of the plastic rotor blades on which  the jar rests has broken within 3 months of use even without  heavy grinding. Terribly disappointed with Bajaj and with Amazon.,"|
      One person found this helpful.
    
  Was this review helpful to you?YesNo"
66,on 10 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7,Five Stars,Siddharth Tukaram Limbare,5.0 out of 5 stars,Good,|Was this review helpful to you?YesNo
67,on 9 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7,Four Stars,Jitu Panda ,4.0 out of 5 stars,Very good product.,|Was this review helpful to you?YesNo
68,on 9 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7,Four Stars,kajal godikya,4.0 out of 5 stars,Very good product ..  satisfied!!,|Was this review helpful to you?YesNo
69,on 9 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7,Five Stars,Kalpesh Shah,5.0 out of 5 stars,Excellent Product,|Was this review helpful to you?YesNo
70,on 9 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8,Five Stars,Mamta singh,5.0 out of 5 stars,it is good performance of these product,|Was this review helpful to you?YesNo
71,on 8 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8,Four Stars,Amazon Customer,4.0 out of 5 stars,Good product in low price,|Was this review helpful to you?YesNo
72,on 8 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8,Three Stars,mahesh,3.0 out of 5 stars,not working properly.. can we have to replace it..one year warranty is there..how can it repair or replace it,|Was this review helpful to you?YesNo
73,on 8 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8,Noisy,Amazon Customer,3.0 out of 5 stars,"Works fine, but I found it to be very noisy.",|Was this review helpful to you?YesNo
74,on 8 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8,Five Stars,Amazon Customer,5.0 out of 5 stars,Good Quality,|Was this review helpful to you?YesNo
75,on 8 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8,Excellent,sc,5.0 out of 5 stars,Superb performance.i fully trust bajaj because I am using bajaj mixer since 8 years.just take care not to grind salt or sugar.although it will do that too but jar life will shorten,|Was this review helpful to you?YesNo
76,on 8 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8,Four Stars,Amazon Customer,4.0 out of 5 stars,Good product,|Was this review helpful to you?YesNo
